,filt_value,maxdim,mode,random_label_choice,change_data,mean_accuracy,min_accuracy,max_accuracy
0,0,1,link,True,True,0.404,0.296,0.925
1,0,1,link,True,False,0.41,0.291,0.962
2,0,1,link,False,True,0.373,0.212,0.925
3,0,1,link,False,False,0.373,0.212,0.925
4,0,1,star,True,True,0.417,0.313,0.95
5,0,1,star,True,False,0.409,0.309,0.938
6,0,1,star,False,True,0.373,0.212,0.925
7,0,1,star,False,False,0.373,0.212,0.925
8,1,1,link,True,True,0.409,0.301,0.938
9,1,1,link,True,False,0.412,0.314,0.962
10,1,1,link,False,True,0.374,0.214,0.925
11,1,1,link,False,False,0.374,0.214,0.925
12,1,1,star,True,True,0.416,0.263,0.95
13,1,1,star,True,False,0.409,0.287,0.95
14,1,1,star,False,True,0.374,0.214,0.925
15,1,1,star,False,False,0.374,0.214,0.925
16,2,1,link,True,True,0.403,0.291,0.925
17,2,1,link,True,False,0.406,0.312,0.95
18,2,1,link,False,True,0.386,0.218,0.925
19,2,1,link,False,False,0.382,0.216,0.925
20,2,1,star,True,True,0.405,0.259,0.95
21,2,1,star,True,False,0.423,0.328,0.925
22,2,1,star,False,True,0.387,0.218,0.925
23,2,1,star,False,False,0.382,0.216,0.925
24,3,1,link,True,True,0.438,0.271,0.95
25,3,1,link,True,False,0.429,0.331,0.925
26,3,1,link,False,True,0.405,0.238,0.925
27,3,1,link,False,False,0.404,0.246,0.925
28,3,1,star,True,True,0.428,0.32,0.938
29,3,1,star,True,False,0.427,0.323,0.962
30,3,1,star,False,True,0.405,0.235,0.925
31,3,1,star,False,False,0.403,0.242,0.925
32,4,1,link,True,True,0.475,0.303,0.95
33,4,1,link,True,False,0.46,0.346,0.95
34,4,1,link,False,True,0.455,0.23,0.9
35,4,1,link,False,False,0.441,0.246,0.912
36,4,1,star,True,True,0.504,0.358,0.95
37,4,1,star,True,False,0.472,0.349,0.988
38,4,1,star,False,True,0.46,0.235,0.938
39,4,1,star,False,False,0.442,0.244,0.938
40,5,1,link,True,True,0.534,0.424,0.912
41,5,1,link,True,False,0.504,0.374,0.962
42,5,1,link,False,True,0.502,0.333,0.912
43,5,1,link,False,False,0.478,0.271,0.912
44,5,1,star,True,True,0.527,0.308,0.95
45,5,1,star,True,False,0.505,0.351,0.975
46,5,1,star,False,True,0.499,0.319,0.95
47,5,1,star,False,False,0.475,0.26,0.95
48,6,1,link,True,True,0.594,0.475,0.975
49,6,1,link,True,False,0.536,0.408,0.95
50,6,1,link,False,True,0.557,0.416,0.962
51,6,1,link,False,False,0.512,0.305,0.938
52,6,1,star,True,True,0.594,0.437,1.0
53,6,1,star,True,False,0.535,0.383,0.988
54,6,1,star,False,True,0.556,0.415,1.0
55,6,1,star,False,False,0.512,0.301,0.975
56,7,1,link,True,True,0.596,0.459,0.962
57,7,1,link,True,False,0.561,0.421,0.975
58,7,1,link,False,True,0.578,0.451,0.95
59,7,1,link,False,False,0.544,0.333,0.938
60,7,1,star,True,True,0.599,0.499,1.0
61,7,1,star,True,False,0.569,0.419,1.0
62,7,1,star,False,True,0.584,0.431,1.0
63,7,1,star,False,False,0.546,0.323,0.988
64,8,1,link,True,True,0.618,0.477,0.95
65,8,1,link,True,False,0.592,0.449,0.95
66,8,1,link,False,True,0.593,0.438,0.938
67,8,1,link,False,False,0.571,0.39,0.95
68,8,1,star,True,True,0.64,0.467,1.0
69,8,1,star,True,False,0.586,0.456,1.0
70,8,1,star,False,True,0.593,0.38,1.0
71,8,1,star,False,False,0.574,0.387,1.0
72,9,1,link,True,True,0.614,0.437,0.938
73,9,1,link,True,False,0.6,0.472,0.925
74,9,1,link,False,True,0.608,0.399,0.925
75,9,1,link,False,False,0.59,0.417,0.912
76,9,1,star,True,True,0.62,0.378,1.0
77,9,1,star,True,False,0.607,0.467,1.0
78,9,1,star,False,True,0.609,0.367,1.0
79,9,1,star,False,False,0.595,0.405,1.0
80,10,1,link,True,True,0.643,0.519,0.938
81,10,1,link,True,False,0.615,0.469,0.938
82,10,1,link,False,True,0.627,0.467,0.925
83,10,1,link,False,False,0.603,0.421,0.9
84,10,1,star,True,True,0.632,0.437,1.0
85,10,1,star,True,False,0.619,0.472,1.0
86,10,1,star,False,True,0.63,0.421,1.0
87,10,1,star,False,False,0.611,0.426,1.0
88,11,1,link,True,True,0.648,0.514,0.912
89,11,1,link,True,False,0.626,0.469,0.912
90,11,1,link,False,True,0.641,0.476,0.912
91,11,1,link,False,False,0.621,0.442,0.912
92,11,1,star,True,True,0.672,0.513,1.0
93,11,1,star,True,False,0.631,0.467,1.0
94,11,1,star,False,True,0.65,0.492,1.0
95,11,1,star,False,False,0.627,0.44,1.0
96,12,1,link,True,True,0.657,0.503,0.925
97,12,1,link,True,False,0.631,0.449,0.912
98,12,1,link,False,True,0.641,0.469,0.9
99,12,1,link,False,False,0.63,0.444,0.9
100,12,1,star,True,True,0.672,0.533,1.0
101,12,1,star,True,False,0.638,0.476,1.0
102,12,1,star,False,True,0.649,0.478,1.0
103,12,1,star,False,False,0.635,0.433,1.0
104,13,1,link,True,True,0.659,0.501,0.912
105,13,1,link,True,False,0.63,0.458,0.9
106,13,1,link,False,True,0.652,0.492,0.9
107,13,1,link,False,False,0.634,0.446,0.9
108,13,1,star,True,True,0.652,0.515,1.0
109,13,1,star,True,False,0.643,0.469,1.0
110,13,1,star,False,True,0.657,0.497,1.0
111,13,1,star,False,False,0.641,0.449,1.0
112,14,1,link,True,True,0.652,0.529,0.843
113,14,1,link,True,False,0.641,0.458,0.875
114,14,1,link,False,True,0.66,0.497,0.838
115,14,1,link,False,False,0.64,0.449,0.875
116,14,1,star,True,True,0.668,0.533,1.0
117,14,1,star,True,False,0.657,0.492,1.0
118,14,1,star,False,True,0.67,0.512,1.0
119,14,1,star,False,False,0.652,0.46,1.0
120,15,1,link,True,True,0.674,0.538,0.839
121,15,1,link,True,False,0.64,0.469,0.825
122,15,1,link,False,True,0.666,0.505,0.834
123,15,1,link,False,False,0.644,0.465,0.825
124,15,1,star,True,True,0.679,0.526,1.0
125,15,1,star,True,False,0.657,0.472,1.0
126,15,1,star,False,True,0.683,0.526,1.0
127,15,1,star,False,False,0.66,0.46,1.0
128,16,1,link,True,True,0.678,0.533,0.832
129,16,1,link,True,False,0.657,0.465,0.825
130,16,1,link,False,True,0.67,0.525,0.83
131,16,1,link,False,False,0.651,0.467,0.812
132,16,1,star,True,True,0.692,0.533,1.0
133,16,1,star,True,False,0.666,0.469,1.0
134,16,1,star,False,True,0.691,0.528,1.0
135,16,1,star,False,False,0.667,0.465,1.0
136,17,1,link,True,True,0.67,0.565,0.845
137,17,1,link,True,False,0.658,0.483,0.812
138,17,1,link,False,True,0.678,0.527,0.851
139,17,1,link,False,False,0.659,0.469,0.8
140,17,1,star,True,True,0.701,0.564,1.0
141,17,1,star,True,False,0.669,0.49,1.0
142,17,1,star,False,True,0.701,0.565,1.0
143,17,1,star,False,False,0.674,0.476,1.0
144,18,1,link,True,True,0.673,0.523,0.851
145,18,1,link,True,False,0.65,0.481,0.788
146,18,1,link,False,True,0.687,0.553,0.849
147,18,1,link,False,False,0.658,0.469,0.794
148,18,1,star,True,True,0.693,0.547,1.0
149,18,1,star,True,False,0.673,0.49,1.0
150,18,1,star,False,True,0.704,0.553,1.0
151,18,1,star,False,False,0.677,0.483,1.0
152,19,1,link,True,True,0.668,0.499,0.828
153,19,1,link,True,False,0.656,0.494,0.8
154,19,1,link,False,True,0.686,0.562,0.834
155,19,1,link,False,False,0.659,0.483,0.796
156,19,1,star,True,True,0.702,0.554,1.0
157,19,1,star,True,False,0.677,0.508,1.0
158,19,1,star,False,True,0.712,0.549,1.0
159,19,1,star,False,False,0.68,0.497,1.0
160,20,1,link,True,True,0.668,0.495,0.837
161,20,1,link,True,False,0.653,0.51,0.813
162,20,1,link,False,True,0.678,0.501,0.828
163,20,1,link,False,False,0.657,0.497,0.8
164,20,1,star,True,True,0.7,0.556,1.0
165,20,1,star,True,False,0.676,0.499,1.0
166,20,1,star,False,True,0.711,0.549,1.0
167,20,1,star,False,False,0.681,0.497,1.0
168,21,1,link,True,True,0.667,0.41,0.807
169,21,1,link,True,False,0.653,0.51,0.792
170,21,1,link,False,True,0.675,0.412,0.824
171,21,1,link,False,False,0.66,0.499,0.794
172,21,1,star,True,True,0.701,0.551,1.0
173,21,1,star,True,False,0.677,0.506,1.0
174,21,1,star,False,True,0.714,0.549,1.0
175,21,1,star,False,False,0.681,0.506,1.0
176,22,1,link,True,True,0.651,0.397,0.8
177,22,1,link,True,False,0.654,0.528,0.8
178,22,1,link,False,True,0.666,0.397,0.8
179,22,1,link,False,False,0.66,0.526,0.794
180,22,1,star,True,True,0.701,0.479,1.0
181,22,1,star,True,False,0.68,0.519,1.0
182,22,1,star,False,True,0.711,0.482,1.0
183,22,1,star,False,False,0.684,0.517,1.0
184,23,1,link,True,True,0.65,0.401,0.8
185,23,1,link,True,False,0.658,0.535,0.8
186,23,1,link,False,True,0.663,0.406,0.8
187,23,1,link,False,False,0.667,0.534,0.8
188,23,1,star,True,True,0.686,0.475,0.988
189,23,1,star,True,False,0.68,0.544,0.988
190,23,1,star,False,True,0.7,0.484,0.988
191,23,1,star,False,False,0.687,0.538,0.988
192,24,1,link,True,True,0.654,0.412,0.8
193,24,1,link,True,False,0.66,0.547,0.8
194,24,1,link,False,True,0.662,0.408,0.8
195,24,1,link,False,False,0.665,0.525,0.8
196,24,1,star,True,True,0.685,0.466,0.988
197,24,1,star,True,False,0.68,0.542,0.988
198,24,1,star,False,True,0.697,0.471,0.988
199,24,1,star,False,False,0.688,0.54,0.988
200,25,1,link,True,True,0.655,0.412,0.788
201,25,1,link,True,False,0.664,0.525,0.8
202,25,1,link,False,True,0.654,0.416,0.788
203,25,1,link,False,False,0.668,0.531,0.788
204,25,1,star,True,True,0.697,0.538,0.988
205,25,1,star,True,False,0.688,0.547,0.988
206,25,1,star,False,True,0.71,0.538,0.988
207,25,1,star,False,False,0.69,0.54,0.988
208,26,1,link,True,True,0.64,0.423,0.775
209,26,1,link,True,False,0.664,0.542,0.788
210,26,1,link,False,True,0.649,0.423,0.78
211,26,1,link,False,False,0.664,0.538,0.762
212,26,1,star,True,True,0.692,0.51,0.988
213,26,1,star,True,False,0.689,0.544,0.988
214,26,1,star,False,True,0.702,0.51,0.988
215,26,1,star,False,False,0.692,0.54,0.988
216,27,1,link,True,True,0.649,0.43,0.77
217,27,1,link,True,False,0.66,0.553,0.755
218,27,1,link,False,True,0.645,0.425,0.778
219,27,1,link,False,False,0.663,0.544,0.755
220,27,1,star,True,True,0.689,0.503,0.975
221,27,1,star,True,False,0.69,0.538,0.988
222,27,1,star,False,True,0.699,0.505,0.975
223,27,1,star,False,False,0.693,0.536,0.988
224,28,1,link,True,True,0.649,0.471,0.764
225,28,1,link,True,False,0.655,0.547,0.766
226,28,1,link,False,True,0.647,0.462,0.774
227,28,1,link,False,False,0.657,0.538,0.759
228,28,1,star,True,True,0.69,0.505,0.988
229,28,1,star,True,False,0.695,0.538,0.988
230,28,1,star,False,True,0.701,0.505,0.988
231,28,1,star,False,False,0.696,0.534,0.988
232,29,1,link,True,True,0.647,0.479,0.778
233,29,1,link,True,False,0.65,0.544,0.757
234,29,1,link,False,True,0.649,0.479,0.772
235,29,1,link,False,False,0.65,0.536,0.751
236,29,1,star,True,True,0.705,0.505,0.975
237,29,1,star,True,False,0.695,0.531,0.988
238,29,1,star,False,True,0.704,0.505,0.975
239,29,1,star,False,False,0.698,0.534,0.988
